,component,days,delay,level,preparation,temps_indirect,total_days
0,72562,1.184331914893617,9,1,0.0,0.0,10.184331914893617
0,7256B,47.16382978723404,7,2,0.0,0.0,54.16382978723404
0,7361E,9.976170212765958,7,2,0.0,0.0,16.976170212765958
0,7256C,10.078672340425532,7,2,0.0,0.0,17.078672340425534
0,7256M,10.078672340425532,7,2,0.0,0.0,17.078672340425534
0,7256G,12.4502749604483,7,2,0.0,0.0,19.4502749604483
0,7256H,10.078672340425532,7,2,0.0,0.0,17.078672340425534
0,7256P,11.174578723404256,7,2,0.0,0.0,18.174578723404256
0,7256Q,11.174578723404256,7,2,0.0,0.0,18.174578723404256
0,7360G,10.188936170212767,7,2,0.0,0.0,17.188936170212767
0,7436L,10.188936170212767,7,2,0.0,0.0,17.188936170212767
0,7361H,37.208936170212766,7,2,0.0,0.0,44.208936170212766
0,7203Y,0.10740114893617021,0,3,0.0,0.0,0.10740114893617021
0,7208A,0.05668085106382978,0,3,0.0,0.0,0.05668085106382978
0,7256Z,4.543990799309949,60,3,0.0,0.0,64.54399079930995
0,7256W,2.127659574468085,60,3,0.0,0.0,62.12765957446808
0,7307A1H,2.0425531914893615,60,3,0.0,0.0,62.04255319148936
0,7223F1H,2.0425531914893615,60,3,0.0,0.0,62.04255319148936
0,7360Z,1.163063829787234,0,3,0.0,0.0,1.163063829787234
0,7287H,27.74468085106383,0,3,0.0,0.0,27.74468085106383
0,7256D,34.5531914893617,0,3,0.0,0.0,34.5531914893617
0,7256F,34.297872340425535,0,3,0.0,0.0,34.297872340425535
0,7287L,34.212765957446805,0,3,0.0,0.0,34.212765957446805
0,7256J,35.40425531914894,0,3,0.0,0.0,35.40425531914894
0,7256L,35.40425531914894,0,3,0.0,0.0,35.40425531914894
0,7114X,0.0,0,3,0.0,0.0,0.0
0,7114V,0.3404255319148936,0,3,0.0,0.0,0.3404255319148936
0,7114Z,0.2837446808510638,0,3,0.0,0.0,0.2837446808510638
0,7203V,0.1702127659574468,0,4,0.0,0.0,0.1702127659574468
0,7287P1H,36.40028752156412,20,4,0.0,0.0,56.40028752156412
0,7771W1,11.040828062104659,0,4,0.0,0.0,11.040828062104659
0,7177T,6.900517538815412,0,4,0.0,0.0,6.900517538815412
0,7307A,21.985872340425534,15,4,0.0,0.0,36.98587234042553
0,7223F,24.680851063829788,15,4,0.0,0.0,39.68085106382979
0,7208A,0.05668085106382978,0,4,0.0,0.0,0.05668085106382978
0,7214D,0.1702127659574468,0,4,0.0,0.0,0.1702127659574468
0,7214C,0.1702127659574468,0,4,0.0,0.0,0.1702127659574468
0,7208A,0.05668085106382978,0,4,0.0,0.0,0.05668085106382978
0,7287U,15.914893617021278,0,4,0.0,0.0,15.914893617021278
0,7214D,0.1702127659574468,0,4,0.0,0.0,0.1702127659574468
0,7214C,0.1702127659574468,0,4,0.0,0.0,0.1702127659574468
