level,total_days,component
1,9.590297872340425,72951
2,55.33012765957447,7296A
3,127.65957446808511,7374V1F
4,43.00057504312824,7296U
5,6.808510638297872,7221A
6,90.25531914893617,7221N
7,90.29062723404256,7228R
8,0.3890588936170213,4461S
