level,total_days,component
1,9.726595744680852,62783
2,55.768085106382976,6283A
3,63.06382978723404,6283U1F
4,38.829787234042556,6283U
5,46.917768832662446,7250Y
6,115.74468085106383,4012W
7,42.659574468085104,7275Z
8,73.57446808510637,5954A
9,115.74468085106383,8047W
