level,total_days,component
1,9.539574468085107,72493
2,55.30953191489362,7180A
3,42.04255319148936,7180M
4,44.01955146635998,7080Q
5,41.02127659574468,3420Z1H
6,43.34042553191489,3420Z
7,73.57446808510637,5954F
8,115.74468085106383,8014W
