level,total_days,component
1,9.440765957446809,72851
2,55.30902127659575,7247A
3,127.65957446808511,7374V1F
4,62.5531914893617,5259E1F
5,90.25531914893617,7221N
6,90.29741361702128,7228R
7,115.74468085106383,4998W
8,115.74468085106383,4998W
9,42.659574468085104,7192L
10,0.1702127659574468,5201A
11,0.0851063829787234,5201J
