level,total_days,component
1,9.413150638297873,72481
2,55.20944680851064,7081A
3,41.95744680851064,7081K
4,44.01955146635998,7080Q
5,73.57446808510637,5954F
6,115.74468085106383,8014W
7,73.57446808510637,5954F
8,115.74468085106383,8014W
