,component,days,delay,level,preparation,temps_indirect,total_days
0,72831,0.38906382978723403,9,1,0.0,0.0,9.389063829787235
0,7382A,52.978808510638295,7,2,0.0,0.0,59.978808510638295
0,7361A,9.725510638297873,7,2,0.0,0.0,16.725510638297873
0,7382B,10.051380425531914,7,2,0.0,0.0,17.051380425531914
0,7382C,10.056803404255318,7,2,0.0,0.0,17.05680340425532
0,7382D,10.051380425531914,7,2,0.0,0.0,17.051380425531914
0,7382E,10.051380425531914,7,2,0.0,0.0,17.051380425531914
0,7382G,10.099829787234041,7,2,0.0,0.0,17.099829787234043
0,7361H,36.83189361702128,7,2,0.0,0.0,43.83189361702128
0,7203Y,0.1064919574468085,0,3,0.0,0.0,0.1064919574468085
0,7382J,3.0638297872340425,0,3,0.0,0.0,3.0638297872340425
0,7360Z,1.163063829787234,0,3,0.0,0.0,1.163063829787234
0,7382H,47.82978723404255,0,3,0.0,0.0,47.82978723404255
0,7382K,47.82978723404255,0,3,0.0,0.0,47.82978723404255
0,7382N,47.82978723404255,0,3,0.0,0.0,47.82978723404255
0,7382P,47.744680851063826,0,3,0.0,0.0,47.744680851063826
0,7382R,1.1914893617021276,0,3,0.0,0.0,1.1914893617021276
0,7114Z,0.2837446808510638,0,3,0.0,0.0,0.2837446808510638
0,7203V,0.1702127659574468,0,4,0.0,0.0,0.1702127659574468
0,7283S,0.5957446808510638,0,4,0.0,0.0,0.5957446808510638
0,7382R,1.1914893617021276,0,4,0.0,0.0,1.1914893617021276
0,7382S,0.0425531914893617,0,4,0.0,0.0,0.0425531914893617
0,7382R,1.1914893617021276,0,4,0.0,0.0,1.1914893617021276
0,7382T,0.0425531914893617,0,4,0.0,0.0,0.0425531914893617
0,7382R,1.1914893617021276,0,4,0.0,0.0,1.1914893617021276
0,7382U,0.0851063829787234,0,4,0.0,0.0,0.0851063829787234
0,7382Q,0.5106382978723404,0,4,0.0,0.0,0.5106382978723404
0,7203Y,0.1064919574468085,0,4,0.0,0.0,0.1064919574468085
0,7283S,0.5957446808510638,0,4,0.0,0.0,0.5957446808510638
0,8623W,0.5106382978723404,0,5,0.0,0.0,0.5106382978723404
0,7203Y,0.1064919574468085,0,5,0.0,0.0,0.1064919574468085
0,7283S,0.5957446808510638,0,5,0.0,0.0,0.5957446808510638
0,7382L1F,0.7234042553191489,40,5,0.0,0.0,40.723404255319146
0,7283S,0.5957446808510638,0,5,0.0,0.0,0.5957446808510638
0,7203Y,0.1064919574468085,0,5,0.0,0.0,0.1064919574468085
0,7283S,0.5957446808510638,0,5,0.0,0.0,0.5957446808510638
0,7382L1F,0.7234042553191489,40,5,0.0,0.0,40.723404255319146
0,7283S,0.5957446808510638,0,5,0.0,0.0,0.5957446808510638
0,7203Y,0.1064919574468085,0,5,0.0,0.0,0.1064919574468085
0,7283S,0.5957446808510638,0,5,0.0,0.0,0.5957446808510638
0,7283Q1F,40.851063829787236,0,5,0.0,0.0,40.851063829787236
0,7382Q,0.5106382978723404,0,5,0.0,0.0,0.5106382978723404
0,7382M,0.6808510638297872,0,5,0.0,0.0,0.6808510638297872
0,7203V,0.1702127659574468,0,5,0.0,0.0,0.1702127659574468
0,8623W,0.5106382978723404,0,5,0.0,0.0,0.5106382978723404
0,7203V,0.1702127659574468,0,6,0.0,0.0,0.1702127659574468
0,8623W,0.5106382978723404,0,6,0.0,0.0,0.5106382978723404
0,8623W,0.5106382978723404,0,6,0.0,0.0,0.5106382978723404
0,7203V,0.1702127659574468,0,6,0.0,0.0,0.1702127659574468
0,8623W,0.5106382978723404,0,6,0.0,0.0,0.5106382978723404
0,8623W,0.5106382978723404,0,6,0.0,0.0,0.5106382978723404
0,7203V,0.1702127659574468,0,6,0.0,0.0,0.1702127659574468
0,8623W,0.5106382978723404,0,6,0.0,0.0,0.5106382978723404
0,7283Q,4.198964922369178,40,6,0.0,0.0,44.19896492236918
0,5247S1F,4.400287521564117,40,7,0.0,0.0,44.40028752156412
0,7221A,6.808510638297872,0,7,0.0,0.0,6.808510638297872
0,5247S,27.659574468085104,15,8,0.0,0.0,42.659574468085104
0,7221A,6.808510638297872,0,8,0.0,0.0,6.808510638297872
0,7355E,0.0851063829787234,0,9,0.0,0.0,0.0851063829787234
0,5247T,73.57446808510637,0,9,0.0,0.0,73.57446808510637
0,5201A,0.1702127659574468,0,9,0.0,0.0,0.1702127659574468
0,5201S,0.0851063829787234,0,9,0.0,0.0,0.0851063829787234
0,5201D,0.0851063829787234,0,9,0.0,0.0,0.0851063829787234
0,5201B,0.0851063829787234,0,9,0.0,0.0,0.0851063829787234
0,5201C,0.0851063829787234,0,9,0.0,0.0,0.0851063829787234
0,5830A,0.1702127659574468,0,10,0.0,0.0,0.1702127659574468
0,8060W,115.74468085106383,0,10,0.0,0.0,115.74468085106383
0,4461S,0.3833647659574468,0,10,0.0,0.0,0.3833647659574468
0,5201J,0.0851063829787234,0,10,0.0,0.0,0.0851063829787234
0,5201J,0.0851063829787234,0,10,0.0,0.0,0.0851063829787234
0,5201J,0.0851063829787234,0,10,0.0,0.0,0.0851063829787234
