level,total_days,component
1,10.275852340425532,72348
2,54.021702127659566,7434A
3,42.04255319148936,5250P1H
4,44.787234042553195,3312A
5,137.31454859114433,5250J1H
6,115.74468085106383,8032W
7,73.57446808510637,5955H
8,115.74468085106383,8037W
