level,total_days,component
1,9.554255319148936,72778
2,55.38271276595745,7778A
3,63.06382978723404,7778M1F
4,46.917768832662446,7250Y
5,41.276595744680854,7276T
6,42.659574468085104,7275Z
7,73.57446808510637,5954A
8,115.74468085106383,8047W
