level,total_days,component
1,9.389063829787235,72831
2,59.978808510638295,7382A
3,47.82978723404255,7382H
4,1.1914893617021276,7382R
5,40.851063829787236,7283Q1F
6,44.19896492236918,7283Q
7,44.40028752156412,5247S1F
8,42.659574468085104,5247S
9,73.57446808510637,5247T
10,115.74468085106383,8060W
