,component,days,delay,level,preparation,temps_indirect,total_days
0,72531,0.7068340425531916,9,1,0.0,0.0,9.706834042553192
0,7253A,45.306382978723406,7,2,0.0,0.0,52.306382978723406
0,7361E,9.807659574468085,7,2,0.0,0.0,16.807659574468083
0,7253F,10.074451063829788,7,2,0.0,0.0,17.074451063829788
0,7253K,10.074451063829788,7,2,0.0,0.0,17.074451063829788
0,7253V,7.5786808510638295,7,2,0.0,0.0,14.57868085106383
0,7360G,9.978297872340427,7,2,0.0,0.0,16.978297872340427
0,7436L,9.978297872340427,7,2,0.0,0.0,16.978297872340427
0,7361H,36.871914893617024,7,2,0.0,0.0,43.871914893617024
0,7203Y,0.10694655319148935,0,3,0.0,0.0,0.10694655319148935
0,7224C1H,1.1914893617021276,40,3,0.0,0.0,41.191489361702125
0,7224J1H,1.1914893617021276,40,3,0.0,0.0,41.191489361702125
0,7224Q1H,1.1914893617021276,40,3,0.0,0.0,41.191489361702125
0,7360Z,1.163063829787234,0,3,0.0,0.0,1.163063829787234
0,7252B,34.5531914893617,0,3,0.0,0.0,34.5531914893617
0,7252G,34.5531914893617,0,3,0.0,0.0,34.5531914893617
0,7252L,34.8936170212766,0,3,0.0,0.0,34.8936170212766
0,7114X,0.0,0,3,0.0,0.0,0.0
0,7114V,0.3404255319148936,0,3,0.0,0.0,0.3404255319148936
0,7114Z,0.2837446808510638,0,3,0.0,0.0,0.2837446808510638
0,7203V,0.1702127659574468,0,4,0.0,0.0,0.1702127659574468
0,7224C,24.680851063829788,15,4,0.0,0.0,39.68085106382979
0,7224J,22.29787234042553,15,4,0.0,0.0,37.29787234042553
0,7224Q,22.29787234042553,15,4,0.0,0.0,37.29787234042553
0,7214D,0.1702127659574468,0,4,0.0,0.0,0.1702127659574468
0,7214C,0.1702127659574468,0,4,0.0,0.0,0.1702127659574468
0,7208A,0.05668085106382978,0,4,0.0,0.0,0.05668085106382978
0,7214D,0.1702127659574468,0,4,0.0,0.0,0.1702127659574468
0,7214C,0.1702127659574468,0,4,0.0,0.0,0.1702127659574468
0,7208A,0.05668085106382978,0,4,0.0,0.0,0.05668085106382978
0,7286V,0.5106382978723404,0,4,0.0,0.0,0.5106382978723404
0,7252H,3.0005750431282348,20,4,0.0,0.0,23.000575043128237
0,7252J,3.0005750431282348,20,4,0.0,0.0,23.000575043128237
0,7252R,3.0005750431282348,40,4,0.0,0.0,43.00057504312824
0,7208A,0.05668085106382978,0,4,0.0,0.0,0.05668085106382978
0,7434V,20.76595744680851,0,4,0.0,0.0,20.76595744680851
0,7224B,1.0212765957446808,0,5,0.0,0.0,1.0212765957446808
0,7224H,1.1914893617021276,0,5,0.0,0.0,1.1914893617021276
0,7224L,1.1914893617021276,0,5,0.0,0.0,1.1914893617021276
0,7224C2H,0.0,0,5,0.0,0.0,0.0
0,7224J2H,0.0,0,5,0.0,0.0,0.0
0,7224Q2H,0.0,0,5,0.0,0.0,0.0
0,7304M,1.1914893617021276,0,6,0.0,0.0,1.1914893617021276
0,7224A,5.617021276595745,0,6,0.0,0.0,5.617021276595745
0,7224G,5.617021276595745,0,6,0.0,0.0,5.617021276595745
0,7224K,5.617021276595745,0,6,0.0,0.0,5.617021276595745
0,7224C,24.680851063829788,15,6,0.0,0.0,39.68085106382979
0,7224J,22.29787234042553,15,6,0.0,0.0,37.29787234042553
0,7224Q,22.29787234042553,15,6,0.0,0.0,37.29787234042553
0,7305M,1.1914893617021276,0,7,0.0,0.0,1.1914893617021276
0,4019W,115.74468085106383,0,7,0.0,0.0,115.74468085106383
0,4030W,115.74468085106383,0,7,0.0,0.0,115.74468085106383
0,4031W,115.74468085106383,0,7,0.0,0.0,115.74468085106383
0,7224B,1.0212765957446808,0,7,0.0,0.0,1.0212765957446808
0,7224H,1.1914893617021276,0,7,0.0,0.0,1.1914893617021276
0,7224L,1.1914893617021276,0,7,0.0,0.0,1.1914893617021276
0,7304M,1.1914893617021276,0,8,0.0,0.0,1.1914893617021276
0,7224A,5.617021276595745,0,8,0.0,0.0,5.617021276595745
0,7224G,5.617021276595745,0,8,0.0,0.0,5.617021276595745
0,7224K,5.617021276595745,0,8,0.0,0.0,5.617021276595745
0,7305M,1.1914893617021276,0,9,0.0,0.0,1.1914893617021276
0,4019W,115.74468085106383,0,9,0.0,0.0,115.74468085106383
0,4030W,115.74468085106383,0,9,0.0,0.0,115.74468085106383
0,4031W,115.74468085106383,0,9,0.0,0.0,115.74468085106383
