,component,days,delay,level,preparation,temps_indirect,total_days
0,62792,0.4559574468085107,9,1,0.0,0.0,9.45595744680851
0,6292E,11.97546006683128,7,2,0.0,0.0,18.975460066831282
0,6292F,11.97546006683128,7,2,0.0,0.0,18.975460066831282
0,6292G,11.97546006683128,7,2,0.0,0.0,18.975460066831282
0,6292H,12.976154993863942,7,2,0.0,0.0,19.976154993863943
0,6292J,11.97546006683128,7,2,0.0,0.0,18.975460066831282
0,6292K,11.97546006683128,7,2,0.0,0.0,18.975460066831282
0,6292R,40.90774468085107,0,3,0.0,0.0,40.90774468085107
0,6292L,41.11489361702128,0,3,0.0,0.0,41.11489361702128
0,6292M,41.11489361702128,0,3,0.0,0.0,41.11489361702128
0,6292N,41.11489361702128,0,3,0.0,0.0,41.11489361702128
0,6292P,41.11489361702128,0,3,0.0,0.0,41.11489361702128
0,6292Q,41.11489361702128,0,3,0.0,0.0,41.11489361702128
0,6297Y,27.23404255319149,0,4,0.0,0.0,27.23404255319149
0,6297Y,27.23404255319149,0,4,0.0,0.0,27.23404255319149
0,6297Y,27.23404255319149,0,4,0.0,0.0,27.23404255319149
0,6297Y,27.23404255319149,0,4,0.0,0.0,27.23404255319149
0,6297Y,27.23404255319149,0,4,0.0,0.0,27.23404255319149
0,6297Y,27.23404255319149,0,4,0.0,0.0,27.23404255319149
0,6297Y,27.23404255319149,0,4,0.0,0.0,27.23404255319149
0,8623W,0.5106382978723404,0,5,0.0,0.0,0.5106382978723404
0,8623W,0.5106382978723404,0,5,0.0,0.0,0.5106382978723404
0,8623W,0.5106382978723404,0,5,0.0,0.0,0.5106382978723404
0,8623W,0.5106382978723404,0,5,0.0,0.0,0.5106382978723404
0,8623W,0.5106382978723404,0,5,0.0,0.0,0.5106382978723404
0,8623W,0.5106382978723404,0,5,0.0,0.0,0.5106382978723404
0,8623W,0.5106382978723404,0,5,0.0,0.0,0.5106382978723404
