,component,days,delay,level,preparation,temps_indirect,total_days
0,72217,0.4948936170212766,0,1,0.0,0.0,0.4948936170212766
0,7216X,0.09312765957446809,0,2,0.0,0.0,0.09312765957446809
0,7216Z,13.015264747682345,0,3,0.0,0.0,13.015264747682345
0,7216Y,41.02127659574468,0,4,0.0,0.0,41.02127659574468
0,7222T,35.744680851063826,0,5,0.0,0.0,35.744680851063826
0,8624W,0.5106382978723404,0,5,0.0,0.0,0.5106382978723404
0,7215E,64.65702127659574,0,6,0.0,0.0,64.65702127659574
0,7203B,0.1276595744680851,0,6,0.0,0.0,0.1276595744680851
0,4997W,115.74468085106383,0,7,0.0,0.0,115.74468085106383
