,component,days,delay,level,preparation,temps_indirect,total_days
0,3550180,0.6787234042553192,9,1,0.0,0.0,9.678723404255319
0,5180A,48.38765957446809,7,2,0.0,0.0,55.38765957446809
0,5180R,10.531574468085106,7,2,0.0,0.0,17.531574468085104
0,5180B,9.90496170212766,7,2,0.0,0.0,16.904961702127657
0,5080C,9.883642553191489,7,2,0.0,0.0,16.88364255319149
0,5080D,9.883642553191489,7,2,0.0,0.0,16.88364255319149
0,5180E,9.744510638297871,7,2,0.0,0.0,16.74451063829787
0,5180F,9.883642553191489,7,2,0.0,0.0,16.88364255319149
0,5180S,9.950212765957447,7,2,0.0,0.0,16.950212765957446
0,5180T,10.120425531914893,7,2,0.0,0.0,17.120425531914893
0,5180U,9.950212765957447,7,2,0.0,0.0,16.950212765957446
0,7020Z1C,2.0425531914893615,60,3,0.0,0.0,62.04255319148936
0,7203Y,0.1064919574468085,0,3,0.0,0.0,0.1064919574468085
0,5113T,0.3404255319148936,0,3,0.0,0.0,0.3404255319148936
0,5180G,1.0468085106382978,0,3,0.0,0.0,1.0468085106382978
0,5080H,41.02127659574468,0,3,0.0,0.0,41.02127659574468
0,5080J,41.02127659574468,0,3,0.0,0.0,41.02127659574468
0,5180K,41.10638297872341,0,3,0.0,0.0,41.10638297872341
0,5180L,41.10638297872341,0,3,0.0,0.0,41.10638297872341
0,7114X,0.0,0,3,0.0,0.0,0.0
0,7114Y,0.2837446808510638,0,3,0.0,0.0,0.2837446808510638
0,7114Z,0.2837446808510638,0,3,0.0,0.0,0.2837446808510638
0,7022Z,17.872340425531913,15,4,0.0,0.0,32.87234042553192
0,7203V,0.1702127659574468,0,4,0.0,0.0,0.1702127659574468
0,7210P,0.05668085106382978,0,4,0.0,0.0,0.05668085106382978
0,7208A,0.05668085106382978,0,4,0.0,0.0,0.05668085106382978
0,5180Q,0.0851063829787234,0,4,0.0,0.0,0.0851063829787234
0,7210P,0.05668085106382978,0,4,0.0,0.0,0.05668085106382978
0,5191K,0.1702127659574468,0,4,0.0,0.0,0.1702127659574468
0,5191K,0.1702127659574468,0,4,0.0,0.0,0.1702127659574468
0,5180G,1.0468085106382978,0,4,0.0,0.0,1.0468085106382978
0,5180P,0.2553191489361702,0,4,0.0,0.0,0.2553191489361702
0,5180M,3.6906267970097764,40,4,0.0,0.0,43.69062679700978
0,7020Z,8.170212765957448,0,5,0.0,0.0,8.170212765957448
0,7208A,0.05668085106382978,0,5,0.0,0.0,0.05668085106382978
0,7210P,0.05668085106382978,0,5,0.0,0.0,0.05668085106382978
0,7210P,0.05668085106382978,0,5,0.0,0.0,0.05668085106382978
0,7208A,0.05668085106382978,0,5,0.0,0.0,0.05668085106382978
0,5180Q,0.0851063829787234,0,5,0.0,0.0,0.0851063829787234
0,7210P,0.05668085106382978,0,5,0.0,0.0,0.05668085106382978
0,7210P,0.05668085106382978,0,5,0.0,0.0,0.05668085106382978
0,7177T,6.900517538815412,0,5,0.0,0.0,6.900517538815412
0,7020W,23.829787234042552,0,6,0.0,0.0,23.829787234042552
0,7221M,0.2553191489361702,0,6,0.0,0.0,0.2553191489361702
0,7208A,0.05668085106382978,0,6,0.0,0.0,0.05668085106382978
0,7210P,0.05668085106382978,0,6,0.0,0.0,0.05668085106382978
