,component,days,delay,level,preparation,temps_indirect,total_days
0,72850,0.6059574468085107,9,1,0.0,0.0,9.60595744680851
0,7250A,48.38765957446809,7,2,0.0,0.0,55.38765957446809
0,7361A,9.751489361702127,7,2,0.0,0.0,16.751489361702127
0,7250B,10.039089361702128,7,2,0.0,0.0,17.03908936170213
0,7250C,10.039089361702128,7,2,0.0,0.0,17.03908936170213
0,7250D,10.039089361702128,7,2,0.0,0.0,17.03908936170213
0,7250E,10.039089361702128,7,2,0.0,0.0,17.03908936170213
0,7250F,10.039089361702128,7,2,0.0,0.0,17.03908936170213
0,7250G,10.127634042553192,7,2,0.0,0.0,17.12763404255319
0,7361H,36.85787234042554,7,2,0.0,0.0,43.85787234042554
0,7203Y,0.1064919574468085,0,3,0.0,0.0,0.1064919574468085
0,7293Q1F,3.0638297872340425,60,3,0.0,0.0,63.06382978723404
0,7360Z,1.163063829787234,0,3,0.0,0.0,1.163063829787234
0,7250H,41.10638297872341,0,3,0.0,0.0,41.10638297872341
0,7250J,41.10638297872341,0,3,0.0,0.0,41.10638297872341
0,7250K,41.10638297872341,0,3,0.0,0.0,41.10638297872341
0,7250L,41.10638297872341,0,3,0.0,0.0,41.10638297872341
0,7250M,41.276595744680854,0,3,0.0,0.0,41.276595744680854
0,7250N,41.53191489361702,0,3,0.0,0.0,41.53191489361702
0,7114Z,0.2837446808510638,0,3,0.0,0.0,0.2837446808510638
0,7203V,0.1702127659574468,0,4,0.0,0.0,0.1702127659574468
0,7293Q,24.170212765957444,15,4,0.0,0.0,39.170212765957444
0,7250P,2.553191489361702,0,4,0.0,0.0,2.553191489361702
0,7250P,2.553191489361702,0,4,0.0,0.0,2.553191489361702
0,7250P,2.553191489361702,0,4,0.0,0.0,2.553191489361702
0,7284U,0.425531914893617,0,4,0.0,0.0,0.425531914893617
0,7275Y,4.534790109258195,40,4,0.0,0.0,44.534790109258196
0,7361T,0.8226382978723404,0,4,0.0,0.0,0.8226382978723404
0,7250V,2.723404255319149,0,4,0.0,0.0,2.723404255319149
0,7210P,0.05668085106382978,0,4,0.0,0.0,0.05668085106382978
0,5821Q,23.829787234042552,5,5,0.0,0.0,28.829787234042552
0,5821R,3.404255319148936,0,5,0.0,0.0,3.404255319148936
0,7221Q,1.0212765957446808,0,5,0.0,0.0,1.0212765957446808
0,7221A,6.808510638297872,0,5,0.0,0.0,6.808510638297872
0,7275Z1F,0.0,0,5,0.0,0.0,0.0
0,7203Y,0.1064919574468085,0,6,0.0,0.0,0.1064919574468085
0,7221A,6.808510638297872,0,6,0.0,0.0,6.808510638297872
0,7192L1F,4.0552616446233465,40,6,0.0,0.0,44.05526164462334
0,5258N,2.382978723404255,0,6,0.0,0.0,2.382978723404255
0,5259P,23.829787234042552,0,6,0.0,0.0,23.829787234042552
0,5821Q,23.829787234042552,5,6,0.0,0.0,28.829787234042552
0,7221N,0.25531914893617025,90,6,0.0,0.0,90.25531914893617
0,7275Z,27.659574468085104,15,6,0.0,0.0,42.659574468085104
0,7203V,0.1702127659574468,0,7,0.0,0.0,0.1702127659574468
0,7192L,27.659574468085104,15,7,0.0,0.0,42.659574468085104
0,5258S,2.382978723404255,0,7,0.0,0.0,2.382978723404255
0,5258V,2.382978723404255,0,7,0.0,0.0,2.382978723404255
0,5258X,41.702127659574465,5,7,0.0,0.0,46.702127659574465
0,5821Q,23.829787234042552,5,7,0.0,0.0,28.829787234042552
0,4998W,115.74468085106383,0,7,0.0,0.0,115.74468085106383
0,7203Y,0.1064919574468085,0,7,0.0,0.0,0.1064919574468085
0,7221A,6.808510638297872,0,7,0.0,0.0,6.808510638297872
0,7192L1F,4.0552616446233465,40,7,0.0,0.0,44.05526164462334
0,7228R,0.3030689361702128,90,7,0.0,0.0,90.3030689361702
0,5954A,73.57446808510637,0,7,0.0,0.0,73.57446808510637
0,5201A,0.1702127659574468,0,7,0.0,0.0,0.1702127659574468
