,component,days,delay,level,preparation,temps_indirect,total_days
0,72781,0.6404255319148937,9,1,0.0,0.0,9.640425531914893
0,7278H,51.274226679283785,7,2,0.0,0.0,58.274226679283785
0,7361A,9.758510638297873,7,2,0.0,0.0,16.75851063829787
0,7278A,10.090468085106384,7,2,0.0,0.0,17.090468085106384
0,7278B,10.090468085106384,7,2,0.0,0.0,17.090468085106384
0,7278C,10.090468085106384,7,2,0.0,0.0,17.090468085106384
0,7278F,10.082872340425533,7,2,0.0,0.0,17.08287234042553
0,7278E,10.379489361702129,7,2,0.0,0.0,17.379489361702127
0,7361H,36.86489361702128,7,2,0.0,0.0,43.86489361702128
0,7203Y,0.1064919574468085,0,3,0.0,0.0,0.1064919574468085
0,7276Y,0.11648936170212766,0,3,0.0,0.0,0.11648936170212766
0,7374V1F,7.659574468085107,120,3,0.0,0.0,127.65957446808511
0,7360Z,1.163063829787234,0,3,0.0,0.0,1.163063829787234
0,7278P,41.10638297872341,0,3,0.0,0.0,41.10638297872341
0,7278R,41.10638297872341,0,3,0.0,0.0,41.10638297872341
0,7278Q,41.10638297872341,0,3,0.0,0.0,41.10638297872341
0,7777S,41.361702127659576,0,3,0.0,0.0,41.361702127659576
0,7277Z,41.70212765957447,0,3,0.0,0.0,41.70212765957447
0,7114Z,0.2837446808510638,0,3,0.0,0.0,0.2837446808510638
0,7203V,0.1702127659574468,0,4,0.0,0.0,0.1702127659574468
0,7374V,28.0,15,4,0.0,0.0,43.0
0,7281R,0.425531914893617,0,4,0.0,0.0,0.425531914893617
0,7281R,0.425531914893617,0,4,0.0,0.0,0.425531914893617
0,7278S,0.851063829787234,0,4,0.0,0.0,0.851063829787234
0,7281R,0.425531914893617,0,4,0.0,0.0,0.425531914893617
0,7278S,0.851063829787234,0,4,0.0,0.0,0.851063829787234
0,7276X,0.2553191489361702,0,4,0.0,0.0,0.2553191489361702
0,7777X,2.156411730879816,40,4,0.0,0.0,42.15641173087982
0,5113X,10.553765957446808,7,4,0.0,0.0,17.553765957446807
0,7210P,0.05668085106382978,0,4,0.0,0.0,0.05668085106382978
0,9085A,0.5957446808510638,0,5,0.0,0.0,0.5957446808510638
0,9003P,0.488,0,5,0.0,0.0,0.488
0,7208A,0.05668085106382978,0,5,0.0,0.0,0.05668085106382978
0,7208A,0.05668085106382978,0,5,0.0,0.0,0.05668085106382978
0,7208A,0.05668085106382978,0,5,0.0,0.0,0.05668085106382978
0,7777Y2F,43.03628522139161,40,5,0.0,0.0,83.03628522139161
0,7276X,0.2553191489361702,0,5,0.0,0.0,0.2553191489361702
0,7221M,0.2553191489361702,0,5,0.0,0.0,0.2553191489361702
0,9001A,0.0851063829787234,0,6,0.0,0.0,0.0851063829787234
0,7203B,0.1276595744680851,0,6,0.0,0.0,0.1276595744680851
0,7777Y,22.29787234042553,15,6,0.0,0.0,37.29787234042553
0,7221A,6.808510638297872,0,7,0.0,0.0,6.808510638297872
0,7305M,1.1914893617021276,0,7,0.0,0.0,1.1914893617021276
0,7377N,30.638297872340424,0,7,0.0,0.0,30.638297872340424
0,7221A,6.808510638297872,0,8,0.0,0.0,6.808510638297872
0,7221M,0.2553191489361702,0,8,0.0,0.0,0.2553191489361702
0,705004,0.0,3,8,0.0,0.0,3.0
0,4011W,115.74468085106383,0,8,0.0,0.0,115.74468085106383
