level,total_days,component
1,9.300574468085106,3551166
2,55.68093617021277,5166A
3,61.361702127659576,7356N1H
4,43.949396204715356,5166P
5,73.57446808510637,5956J
6,115.74468085106383,8052W
7,115.74468085106383,8053W
8,51.42553191489362,5113L
9,73.57446808510637,5954G
10,115.74468085106383,8045W
