level,total_days,component
1,10.263914893617022,72388R
2,49.37234042553191,7286A
3,41.361702127659576,7354M1H
4,92.63829787234042,7201L
5,115.74468085106383,4160W
6,115.74468085106383,4160W
7,73.57446808510637,5954X
8,115.74468085106383,4997W
