level,total_days,component
1,10.157446808510638,72830
2,46.38510638297872,7283A
3,63.40425531914894,5251P1F
4,44.19896492236918,7283Q
5,73.57446808510637,5251Q
6,42.659574468085104,5247S
7,73.57446808510637,5247T
8,115.74468085106383,8060W
