,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7
,level,total_days,component,level,total_days,component,level,total_days,component,level,total_days,component,level,total_days,component,level,total_days,component,level,total_days,component,level,total_days,component
0,1,10.102127659574467,25296,2,16.03404255319149,7296A,3,127.65957446808511,7374V1F,4,43.00057504312824,7296U,5,6.808510638297872,7221A,6,90.12765957446808,7221N,7,90.25531914893617,7228R,8,0.048641361702127656,4461S
