,component,days,delay,level,preparation,temps_indirect,total_days
0,62794,1.846808510638298,9,1,0.0,0.0,10.846808510638297
0,6179A,49.67446808510638,7,2,0.0,0.0,56.67446808510638
0,7361A,10.004255319148937,7,2,0.0,0.0,17.00425531914894
0,6179B,10.964255319148934,7,2,0.0,0.0,17.964255319148933
0,6179C,10.964255319148934,7,2,0.0,0.0,17.964255319148933
0,6179E,10.964255319148934,7,2,0.0,0.0,17.964255319148933
0,6179F,11.439787234042551,7,2,0.0,0.0,18.43978723404255
0,6179G,11.439787234042551,7,2,0.0,0.0,18.43978723404255
0,7361H,37.11063829787234,7,2,0.0,0.0,44.11063829787234
0,6166J1F,3.0638297872340425,60,3,0.0,0.0,63.06382978723404
0,7203Y,0.10694655319148935,0,3,0.0,0.0,0.10694655319148935
0,7221A,6.808510638297872,0,3,0.0,0.0,6.808510638297872
0,7360Z,1.163063829787234,0,3,0.0,0.0,1.163063829787234
0,6179H,41.11489361702128,0,3,0.0,0.0,41.11489361702128
0,6179H,41.11489361702128,0,3,0.0,0.0,41.11489361702128
0,6179J,41.11489361702128,0,3,0.0,0.0,41.11489361702128
0,6179L,41.11489361702128,0,3,0.0,0.0,41.11489361702128
0,6179M,41.11489361702128,0,3,0.0,0.0,41.11489361702128
0,6297Q,41.11489361702128,0,3,0.0,0.0,41.11489361702128
0,7114Z,0.2837446808510638,0,3,0.0,0.0,0.2837446808510638
0,6166J,28.340425531914892,15,4,0.0,0.0,43.34042553191489
0,7203V,0.1702127659574468,0,4,0.0,0.0,0.1702127659574468
0,6297Y,27.23404255319149,0,4,0.0,0.0,27.23404255319149
0,6297Y,27.23404255319149,0,4,0.0,0.0,27.23404255319149
0,6297Y,27.23404255319149,0,4,0.0,0.0,27.23404255319149
0,6297Y,27.23404255319149,0,4,0.0,0.0,27.23404255319149
0,6179Y,3.168487636572743,40,4,0.0,0.0,43.16848763657274
0,6179Z,0.3404255319148936,0,4,0.0,0.0,0.3404255319148936
0,6166K,47.659574468085104,0,5,0.0,0.0,47.659574468085104
0,7203B,0.1276595744680851,0,5,0.0,0.0,0.1276595744680851
0,7355E,0.0851063829787234,0,5,0.0,0.0,0.0851063829787234
0,5259Q,5.957446808510638,0,5,0.0,0.0,5.957446808510638
0,8623W,0.5106382978723404,0,5,0.0,0.0,0.5106382978723404
0,8623W,0.5106382978723404,0,5,0.0,0.0,0.5106382978723404
0,8623W,0.5106382978723404,0,5,0.0,0.0,0.5106382978723404
0,8623W,0.5106382978723404,0,5,0.0,0.0,0.5106382978723404
0,5530D1F,0.0,0,5,0.0,0.0,0.0
0,7221A,6.808510638297872,0,5,0.0,0.0,6.808510638297872
0,8685A,0.2348936170212766,0,6,0.0,0.0,0.2348936170212766
0,7203A,0.2553191489361702,0,6,0.0,0.0,0.2553191489361702
0,8027W,115.74468085106383,0,6,0.0,0.0,115.74468085106383
0,5530D,28.340425531914892,15,6,0.0,0.0,43.34042553191489
0,6166N,41.702127659574465,0,7,0.0,0.0,41.702127659574465
0,7203B,0.1276595744680851,0,7,0.0,0.0,0.1276595744680851
0,8048W,115.74468085106383,0,8,0.0,0.0,115.74468085106383
