level,total_days,component
1,12.07668085106383,72386
2,9.659574468085106,7361A
3,0.1071268085106383,7203Y
4,0.05668085106382978,7210P
5,0.0,7121Q1H
6,0.05668085106382978,7210P
7,0.0851063829787234,7355E
8,0.1702127659574468,5830A
