level,total_days,component
1,9.812765957446809,62794C
2,55.51702127659575,6794A
3,63.06382978723404,6166J1F
4,43.34042553191489,6166J
5,47.659574468085104,6166K
6,115.74468085106383,8027W
7,41.702127659574465,6166N
8,115.74468085106383,8048W
