,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,TOTAl_DAYS
,level,total_days,component,level,total_days,component,level,total_days,component,level,total_days,component,level,total_days,component,level,total_days,component,level,total_days,component,level,total_days,component,
71120,1,9.430425531914894,71120,2,55.28808510638299,7120B,3,41.87234042553192,7120Q,4,42.829787234042556,7354M,5,73.57446808510637,5956B,6,115.74468085106383,8008W,7,64.65702127659574,7215E,8,115.74468085106383,4997W,519.1414893617022
